Animal_ID,Animal_Name,Animal_Sex,Animal_Breed_ID,Animal_Color_ID,Animal_Photo,Animal_Age,Animal_Size_ID,Animal_Spayed_Neutered,Animal_Intake_Date,Animal_Intake_Type,Animal_Category_ID,Animal_Coat_Length,Animal_Description,Good_With_ID,Breed,Color,Size,Category
367377,DOOBIE,N,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A367377&location=MONT,12 YEARS,3,TRUE,2021-07-10,RETURN,1,13,NULL,7,BOXER / ROTTWEILER,BLACK / BROWN,MED,DOG
467605,*SUPERGIRL,S,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467605&location=MONT,6 YEARS,3,TRUE,2020-12-13,RETURN,1,13,NULL,7,AM PIT BULL TER,GRAY,MED,DOG
468403,LEO,N,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468403&location=MONT,4 YEARS,3,TRUE,2021-09-16,FOSTER,1,13,NULL,7,AM PIT BULL TER / MIX,BLACK / WHITE,MED,DOG
468913,*JOEY,M,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468913&location=MONT,1 YEAR 6 MONTHS,12,TRUE,2020-10-16,STRAY,3,13,NULL,7,CHICKEN,WHITE / BLACK,MED,BIRD
468915,*MIKE,M,12,7,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468915&location=MONT,1 YEAR 6 MONTHS,12,TRUE,2020-10-16,STRAY,3,13,NULL,7,CHICKEN,WHITE / BLACK,MED,BIRD
468916,*RICHARD,M,12,8,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468916&location=MONT,NO AGE,12,TRUE,2020-10-16,STRAY,3,13,NULL,7,CHICKEN,BLACK / BLACK,MED,BIRD
471330,SQUIRREL,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471330&location=MONT,4 YEARS,7,TRUE,2021-10-15,OWNER SUR,2,13,NULL,7,DOMESTIC MH,GRAY,SMALL,CAT
472017,ATILA,M,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A472017&location=MONT,1 YEAR 3 MONTHS,13,TRUE,2021-01-17,OWNER SUR,3,13,NULL,7,CHICKEN / AUSTRALORP,BLACK,LARGE,BIRD
472018,SANZON,M,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A472018&location=MONT,1 YEAR 3 MONTHS,13,TRUE,2021-01-17,OWNER SUR,3,13,NULL,7,CHICKEN,BLACK,LARGE,BIRD
473782,SOSA,N,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A473782&location=MONT,3 YEARS,3,TRUE,2021-03-08,OWNER SUR,1,13,NULL,7,AM PIT BULL TER,BLACK / WHITE,MED,DOG
475631,*TENBROOK,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475631&location=MONT,12 YEARS,6,TRUE,2021-04-26,STRAY,2,13,NULL,7,DOMESTIC SH,GRAY,MED,CAT
475958,*PARKER,N,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475958&location=MONT,5 YEARS,4,TRUE,2021-07-03,RETURN,1,13,NULL,7,AM PIT BULL TER,WHITE / BLACK,LARGE,DOG
478196,*PAW PAW,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478196&location=MONT,1 YEAR 5 MONTHS,7,TRUE,2021-06-24,STRAY,2,13,NULL,7,DOMESTIC SH,GRAY TAB / WHITE,SMALL,CAT
479017,*SLIPPERS,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A479017&location=MONT,5 MONTHS,9,TRUE,2021-11-01,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK / WHITE,KITTEN,CAT
479018,*BEANIE,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A479018&location=MONT,5 MONTHS,9,TRUE,2021-11-01,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK,KITTEN,CAT
479834,LILY,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A479834&location=MONT,11 YEARS,31,TRUE,2021-08-02,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK / WHITE,LARGE,CAT
480017,*JAMAL,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480017&location=MONT,1 YEAR 3 MONTHS,15,TRUE,2021-08-06,BOARDING,4,13,NULL,7,RAT,WHITE,SMALL,OTHER
480018,*MARCUS,M,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480018&location=MONT,1 YEAR 3 MONTHS,6,TRUE,2021-08-06,BOARDING,4,13,NULL,7,RAT,BLACK / WHITE,SMALL,OTHER
480456,BAO,M,12,28,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480456&location=MONT,9 MONTHS,11,TRUE,2021-08-16,OWNER SUR,3,13,NULL,7,CHICKEN,TRICOLOR,SMALL,BIRD
480685,WHITEY,M,12,8,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480685&location=MONT,NO AGE,28,TRUE,2021-08-21,OWNER SUR,4,13,NULL,7,RAT,WHITE,SMALL,OTHER
480686,STEWART,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480686&location=MONT,NO AGE,26,TRUE,2021-08-21,OWNER SUR,4,13,NULL,7,RAT,WHITE,SMALL,OTHER
480813,*GINGER,M,12,28,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480813&location=MONT,1 YEAR 3 MONTHS,22,TRUE,2021-08-24,STRAY,4,13,NULL,7,GUINEA PIG,TRI/BLACK,MED,OTHER
480910,*JOEY,U,12,8,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480910&location=MONT,NO AGE,16,TRUE,2021-08-27,STRAY,4,13,NULL,7,LIZARD / IGUANA,GREEN,MED,OTHER
481164,ISABELLA,S,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481164&location=MONT,11 YEARS,2,TRUE,2021-10-30,RETURN,1,13,NULL,7,SHIH TZU,WHITE,SMALL,DOG
481562,COCO,F,12,29,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481562&location=MONT,2 YEARS,26,TRUE,2021-09-12,OWNER SUR,4,13,NULL,7,RABBIT SH,SABLE,LARGE,OTHER
481608,*MAXI,F,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481608&location=MONT,1 YEAR 2 MONTHS,25,TRUE,2021-10-14,RETURN,4,13,NULL,7,RABBIT SH,BLACK / WHITE,MED,OTHER
481777,*HIP HOP,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481777&location=MONT,2 YEARS,25,TRUE,2021-09-17,STRAY,4,13,NULL,7,RABBIT SH,WHITE,MED,OTHER
481870,SERENA,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481870&location=MONT,12 YEARS,6,TRUE,2021-09-20,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK,MED,CAT
481871,VENUS,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481871&location=MONT,12 YEARS,6,TRUE,2021-09-20,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK,MED,CAT
481886,*BLIZZARD,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481886&location=MONT,1 YEAR 2 MONTHS,24,TRUE,2021-09-20,STRAY,4,13,NULL,7,RABBIT SH,WHITE,SMALL,OTHER
482003,*STAR,S,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482003&location=MONT,1 YEAR 2 MONTHS,3,TRUE,2021-09-24,STRAY,1,13,NULL,7,AM PIT BULL TER,BLACK / WHITE,MED,DOG
482070,DESPERAUX,F,12,5,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482070&location=MONT,1 YEAR 7 MONTHS,27,TRUE,2021-09-26,OWNER SUR,4,13,NULL,7,RAT,BROWN / WHITE,SMALL,OTHER
482072,ALGERNON,F,12,5,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482072&location=MONT,1 YEAR 7 MONTHS,27,TRUE,2021-09-26,OWNER SUR,4,13,NULL,7,RAT,BROWN / WHITE,SMALL,OTHER
482232,*BUFORD,M,12,10,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482232&location=MONT,NO AGE,11,TRUE,2021-09-30,STRAY,3,13,NULL,7,CHICKEN,BLACK / ORANGE,SMALL,BIRD
482258,*WALKER,N,12,10,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482258&location=MONT,2 YEARS,3,TRUE,2021-10-01,STRAY,1,13,NULL,7,ALASKAN HUSKY,RED / WHITE,MED,DOG
482306,BUBBLES,M,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482306&location=MONT,1 YEAR 1 MONTH,21,TRUE,2021-10-02,OWNER SUR,4,13,NULL,7,HAMSTER,WHITE / GRAY,SMALL,OTHER
482307,BINKY,M,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482307&location=MONT,1 YEAR 1 MONTH,21,TRUE,2021-10-02,OWNER SUR,4,13,NULL,7,HAMSTER,WHITE / GRAY,SMALL,OTHER
482356,MIZZO,N,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482356&location=MONT,10 YEARS,7,TRUE,2021-10-04,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK,SMALL,CAT
482375,*BAMBI,F,12,5,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482375&location=MONT,2 YEARS,25,TRUE,2021-10-04,STRAY,4,13,NULL,7,RABBIT SH,BROWN,MED,OTHER
482383,BELLA,S,12,30,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482383&location=MONT,1 YEAR 6 MONTHS,3,TRUE,2021-10-04,OWNER SUR,1,13,NULL,7,GERM SHEPHERD / SIBERIAN HUSKY,TAN / BLACK,MED,DOG
482458,CLOE,F,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482458&location=MONT,8 WEEKS,22,TRUE,2021-10-06,OWNER SUR,4,13,NULL,7,GUINEA PIG,WHITE / BLACK,MED,OTHER
482463,*HEN1,F,12,6,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482463&location=MONT,NO AGE,12,TRUE,2021-10-06,STRAY,3,13,NULL,7,RHODE ISLAND,RED,MED,BIRD
482464,*HEN2,F,12,6,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482464&location=MONT,NO AGE,12,TRUE,2021-10-06,STRAY,3,13,NULL,7,RHODE ISLAND,RED,MED,BIRD
482465,*HEN3,F,12,10,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482465&location=MONT,NO AGE,12,TRUE,2021-10-06,STRAY,3,13,NULL,7,RHODE ISLAND,RED,MED,BIRD
482466,*ROOSTER,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482466&location=MONT,NO AGE,11,TRUE,2021-10-06,STRAY,3,13,NULL,7,BANTAM,WHITE,SMALL,BIRD
482574,*CATHEW,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482574&location=MONT,5 MONTHS,9,TRUE,2021-10-09,OWNER SUR,2,13,NULL,7,DOMESTIC MH,GRAY TAB,KITTEN,CAT
482584,*LARRY,M,12,3,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482584&location=MONT,1 YEAR 1 MONTH,18,TRUE,2021-10-09,OWNER SUR,4,13,NULL,7,RAT,WHITE,SMALL,OTHER
482585,*CURLY,M,12,4,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482585&location=MONT,1 YEAR 1 MONTH,18,TRUE,2021-10-09,OWNER SUR,4,13,NULL,7,RAT,GRAY / WHITE,SMALL,OTHER
482586,*MOE,S,12,6,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482586&location=MONT,1 YEAR 1 MONTH,29,TRUE,2021-10-09,OWNER SUR,4,13,NULL,7,RAT,GRAY / WHITE,SMALL,OTHER
482688,ZOEY,S,12,25,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482688&location=MONT,8 MONTHS,7,TRUE,2021-10-12,OWNER SUR,2,13,NULL,7,DOMESTIC SH,TAB CALICO,SMALL,CAT
482734,MOSES,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482734&location=MONT,5 YEARS,6,TRUE,2021-10-13,OWNER SUR,2,13,NULL,7,DOMESTIC SH,GRAY,MED,CAT
482821,MUSHU,N,12,5,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482821&location=MONT,1 YEAR 6 MONTHS,6,TRUE,2021-10-15,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BRN TABBY,MED,CAT
482918,HONEY,S,12,31,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482918&location=MONT,3 YEARS,3,TRUE,2021-10-18,OWNER SUR,1,13,NULL,7,AMERICAN STAFF,BRINDLE / WHITE,MED,DOG
482943,CHIEF,N,12,2,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482943&location=MONT,7 MONTHS,7,TRUE,2021-10-19,OWNER SUR,2,13,NULL,7,DOMESTIC SH,GRAY TAB,SMALL,CAT
482944,FRANCES,N,12,1,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482944&location=MONT,7 MONTHS,7,TRUE,2021-10-19,OWNER SUR,2,13,NULL,7,DOMESTIC SH,BLACK,SMALL,CAT
482962,GRUFFALO,M,12,30,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482962&location=MONT,7 MONTHS,22,TRUE,2021-10-19,OWNER SUR,4,13,NULL,7,GUINEA PIG,TAN / WHITE,MED,OTHER
483095,BELLA,S,12,27,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483095&location=MONT,6 MONTHS,9,TRUE,2021-10-21,OWNER SUR,2,13,NULL,7,DOMESTIC SH,TORTIE,KITTEN,CAT
483137,SADIE,S,12,32,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483137&location=MONT,4 YEARS,3,TRUE,2021-10-23,OWNER SUR,1,13,NULL,7,BOXER,FAWN,MED,DOG
483192,FRED,U,12,8,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483192&location=MONT,NO AGE,27,TRUE,2021-10-25,OWNER SUR,4,13,NULL,7,LIZARD,GREEN,SMALL,OTHER
483400,PIXIE,M,12,7,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483400&location=MONT,3 YEARS,3,TRUE,2021-10-30,OWNER SUR,3,13,NULL,7,PARAKEET,BLUE,SMALL,BIRD
483401,ASTRA,F,12,12,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483401&location=MONT,3 YEARS,3,TRUE,2021-10-30,OWNER SUR,3,13,NULL,7,PARAKEET,WHITE,SMALL,BIRD
